id|name|status|sources|firstSeen|lastSeen|reason|evidenceUrl|reviewedAt
4203890|Pirate Panic!|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4203890/|
3764040|Plush Time|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3764040/|
3942580|Pool Blitz|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3942580/|
4509300|Prinny Party: Going Overboard!|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4509300/|
4704920|Prison Pocket Patrol|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4704920/|
3819370|Pull the Beer|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3819370/|
4485570|Punch Upon a Time|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4485570/|
3956540|Radio Decay|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3956540/|
4115520|Really Illegal Golf|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4115520/|
4877420|Rec Room: A New Semester|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4877420/|
1829140|Resistance 204X|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/1829140/|
4382680|River Drift|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4382680/|
4268470|Rosalie|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4268470/|
4137270|RV|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4137270/|
4096830|S.O.N.A.R. - 潜艇菜鸟团|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4096830/|
5118500|Safari-TV|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/5118500/|
4954910|Scam With Your Friends|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4954910/|
3617830|Scary Cargo|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3617830/|
5064350|Schedule: Rehab Business|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/5064350/|
1172620|Sea of Thieves: 2026 Edition|pending|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/1172620/|
2508550|Secret Forest|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2508550/|
4566850|Sepak U - Sports Fighting Game|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4566850/|
4595980|Ship or Burn! Coop express|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4595980/|
4280880|SHORE|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4280880/|
3030560|Sloppy Forgeries|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3030560/|
2485410|Slowly Sliding Ducks|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2485410/|
4020490|Smack Talk|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4020490/|
3404880|Someone's Inside Me|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3404880/|
3882630|SOMNIUS|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3882630/|
2626830|SOS OPS! 2|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2626830/|
3545200|Space Dingus|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3545200/|
672890|Sparkball|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/672890/|
4628160|Speak|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4628160/|
2747330|Species: Unknown|pending|horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/2747330/|
4408560|Split Happens|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4408560/|
3588570|Spookitchen|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3588570/|
3808130|Squirmbox|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3808130/|
4702200|Stack Mates|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4702200/|
4509370|Stink Buddies|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4509370/|
4071650|Stream Train|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4071650/|
2026450|Stunt Derby|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2026450/|
1913740|SUPER BOMBERMAN R 2|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1913740/|
440|Team Fortress 2|pending|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/440/|
2280060|Tenebris: Terra Incognita|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2280060/|
2507690|Thalassophobia|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2507690/|
2886060|The Backrooms Company|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/2886060/|
641990|The Escapists 2|pending|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/641990/|
4503040|The Fancy Pants Adventures Online|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4503040/|
4199960|The Jackbox Party Pack 12|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4199960/|
434170|The Jackbox Party Pack 3|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/434170/|
610180|The Jackbox Party Pack 4|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/610180/|
774461|The Jackbox Party Pack 5|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/774461/|
1005300|The Jackbox Party Pack 6|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1005300/|
1211630|The Jackbox Party Pack 7|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1211630/|
4096780|The Missing Tail|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4096780/|
4123800|The Road|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4123800/|
3994840|The Whisker Watch|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3994840/|
3669740|The You Quiz|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3669740/|
4950470|Tidy Up Together|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4950470/|
4561930|Timber Truck: Chaos Coop|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4561930/|
4339680|Totally Safe Moon Project|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4339680/|
4916200|Totally Safe Railway Co. 🚂|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4916200/|
4348760|Totally Secure Airport|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4348760/|
3897280|Totopia|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3897280/|
1589700|Trash|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/1589700/|
3314580|Trash Day|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3314580/|
3905070|Treasure Cove|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3905070/|
4286040|Unicycle Together|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/4286040/|
470220|UNO|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/470220/|
1243960|Unspottable|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1243960/|
837470|Untitled Goose Game|pending|funny-multiplayer-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/837470/|
748810|Vikings On Trampolines|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/748810/|
3488690|Vision Quench / 幻饮迷境|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3488690/|
438100|VRChat|pending|funny-multiplayer-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/438100/|
1910150|Walk of Life|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1910150/|
447040|Watch_Dogs® 2|pending|funny-multiplayer-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/447040/|
4258290|We Are So Cooked|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4258290/|
1368180|Wildekin|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/1368180/|
4132210|Zombie Hamsters|pending|funny-online-wishlist;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4132210/|
4420660|ZONE L.O.S.T.|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4420660/|
386940|超级鸡马|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/386940/|2026-09-22
673750|超级兔子人|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/673750/|2026-09-22
1004490|胡闹装修|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/1004490/|2026-09-22
4108000|机械狂欢|included|funny-multiplayer-new;funny-online-new;horror-online-new;party-popular-new;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/4108000/|2026-09-22
1260320|猛兽派对|included|funny-multiplayer-new;funny-online-new;local-party-top;party-popular-new;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/1260320/|2026-09-22
3470550|破烂艺术家|included|party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/3470550/|2026-09-22
477160|人类一败涂地 / Human Fall Flat|included|funny-multiplayer-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/477160/|2026-09-22
3949040|我们到了吗？|included|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/3949040/|2026-09-22
3722330|午夜轮班|included|horror-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/3722330/|2026-09-22
1206610|橡胶强盗: Rubber Bandits|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/1206610/|2026-09-22
1478500|Big Walk|included|funny-multiplayer-new|2026-09-23|2026-09-23|已进入正式清单|https://bigwalk.game/faq/|2026-09-23
4656000|BOMBANANA!|included|funny-multiplayer-new;funny-online-new;party-popular-new;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/4656000/|2026-09-22
965680|Boomerang Fu|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/965680/|2026-09-22
1274570|DEVOUR|included|horror-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/1274570/|2026-09-22
1943950|Escape the Backrooms|included|horror-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/1943950/|2026-09-22
285900|Gang Beasts|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/285900/|2026-09-22
341800|Keep Talking and Nobody Explodes|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/341800/|2026-09-22
3097560|Liar's Bar|included|funny-multiplayer-new;funny-online-new;horror-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/3097560/|2026-09-22
4948000|Moo Who?|included|party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/4948000/|2026-09-22
728880|Overcooked! 2|included|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/728880/|2026-09-22
3527290|PEAK|included|horror-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/3527290/|2026-09-22
739630|Phasmophobia 恐鬼症|included|horror-online-new|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/739630/|2026-09-22
1509960|PICO PARK|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/1509960/|2026-09-22
880940|Pummel Party|included|funny-multiplayer-new;funny-online-new;local-party-top;party-popular-new;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/880940/|2026-09-22
4190710|Shady job|included|party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/4190710/|2026-09-22
3900650|Spider Roulette|included|party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/3900650/|2026-09-22
437920|Tricky Towers|included|local-party-top;party-top-sellers|2026-09-23|2026-09-23|已进入正式清单|https://store.steampowered.com/app/437920/|2026-09-22
